Time, Sex_ratio, Time-in, Tm, Tf, Gift, RejPr, Offs, N
189,0.488000,0.364000,0.176513,1.000000,0.047131,0.310870,798,1000
190,0.496000,0.355000,0.180470,1.000000,0.074597,0.330941,813,1000
191,0.476000,0.341000,0.182460,1.000000,0.079832,0.336665,774,1000
192,0.496000,0.360000,0.182472,1.000000,0.066532,0.362414,810,1000
193,0.519000,0.369000,0.186163,1.000000,0.073218,0.390692,828,1000
194,0.490000,0.364000,0.182549,1.000000,0.059184,0.371526,779,1000
195,0.517000,0.369000,0.183871,1.000000,0.073501,0.394779,891,1000
196,0.475000,0.352000,0.179605,1.000000,0.061053,0.338193,792,1000
197,0.512000,0.368000,0.187105,1.000000,0.070312,0.377953,864,1000
198,0.471000,0.328000,0.185189,1.000000,0.072187,0.324489,912,1000
199,0.481000,0.340000,0.186320,1.000000,0.064449,0.313160,843,1000
200,0.471000,0.328000,0.183022,1.000000,0.080679,0.317391,822,1000
201,0.481000,0.342000,0.186701,1.000000,0.072765,0.316402,857,1000
202,0.498000,0.340000,0.192610,1.000000,0.094378,0.350180,862,1000
203,0.510000,0.369000,0.192029,1.000000,0.074510,0.355005,842,1000
204,0.495000,0.357000,0.195076,1.000000,0.058586,0.343428,867,1000
205,0.519000,0.377000,0.199031,1.000000,0.061657,0.356489,890,1000
206,0.520000,0.355000,0.194864,1.000000,0.086538,0.364211,865,1000
207,0.521000,0.385000,0.187637,1.000000,0.053743,0.349153,795,1000
208,0.490000,0.349000,0.188195,1.000000,0.065306,0.324111,772,1000
209,0.520000,0.379000,0.182124,1.000000,0.065385,0.338424,767,1000
210,0.515000,0.377000,0.180034,1.000000,0.069903,0.321136,768,1000
211,0.511000,0.371000,0.176836,1.000000,0.054795,0.326713,827,1000
212,0.505000,0.375000,0.182741,1.000000,0.059406,0.330776,798,1000
213,0.502000,0.351000,0.176589,1.000000,0.049801,0.316076,872,1000
214,0.505000,0.368000,0.171311,1.000000,0.041584,0.315462,831,1000
215,0.501000,0.364000,0.181260,1.000000,0.057884,0.323019,816,1000
216,0.521000,0.383000,0.177817,1.000000,0.059501,0.337447,794,1000
217,0.525000,0.382000,0.179270,1.000000,0.053333,0.338417,777,1000
218,0.535000,0.402000,0.184689,1.000000,0.056075,0.328344,783,1000
219,0.481000,0.351000,0.187208,1.000000,0.043659,0.310124,807,1000
220,0.491000,0.366000,0.182402,1.000000,0.052953,0.325598,723,1000
221,0.513000,0.383000,0.187297,1.000000,0.060429,0.353084,717,1000
